episode,loss,mean_R,avg_turns,online_em,answer_rate,sf_recall,retrievals,fmt,empty,kl,rolling10_mean_R,rolling10_online_em,rolling10_sf_recall,rolling10_retrievals,rolling10_kl
42,0.0005,0.424,2.51,0.336,1.0,0.59,1.51,0.0,0.0,0.0477,0.5287,0.4391999999999999,0.6332,1.378,0.05500000000000001
43,0.0007,0.562,2.26,0.484,1.0,0.715,1.26,0.0,0.0,0.0706,0.54,0.45169999999999993,0.6485,1.3539999999999999,0.057550000000000004
44,0.0006,0.737,2.61,0.625,1.0,0.82,1.61,0.0,0.0,0.057,0.5684,0.479,0.6586000000000001,1.3679999999999999,0.05887
45,-0.0028,0.582,2.31,0.492,1.0,0.625,1.31,0.0,0.0,0.0573,0.5707,0.4805,0.6523,1.374,0.059640000000000006
46,0.0007,0.394,2.53,0.312,1.0,0.664,1.53,0.0,0.0,0.07,0.5509999999999999,0.4601,0.6538999999999999,1.409,0.0602
47,0.0005,0.524,2.48,0.422,1.0,0.586,1.48,0.0,0.0,0.0539,0.5466,0.4554,0.6566,1.423,0.060399999999999995
48,-0.0026,0.586,2.34,0.5,0.992,0.625,1.34,0.008,0.0,0.0737,0.5374,0.4476,0.6496,1.4140000000000001,0.061750000000000006
49,-0.0026,0.567,2.42,0.469,1.0,0.738,1.42,0.0,0.0,0.064,0.5359,0.4445,0.6613,1.428,0.06362
50,0.0007,0.627,2.44,0.539,1.0,0.613,1.44,0.0,0.0,0.0651,0.5511999999999999,0.4609,0.6639999999999999,1.4300000000000002,0.06267
51,-0.0057,0.64,2.45,0.531,1.0,0.723,1.45,0.0,0.0,0.0666,0.5643,0.471,0.6698999999999999,1.435,0.06259
52,0.0008,0.687,2.41,0.586,1.0,0.691,1.41,0.0,0.0,0.0799,0.5906,0.496,0.6799999999999999,1.425,0.06581000000000001
53,-0.0059,0.478,2.34,0.383,1.0,0.699,1.34,0.0,0.0,0.0749,0.5822,0.4859,0.6784,1.433,0.06624
54,0.0009,0.565,2.45,0.469,1.0,0.781,1.45,0.0,0.0,0.0883,0.5650000000000001,0.47030000000000005,0.6745,1.417,0.06937
55,-0.0024,0.713,2.52,0.625,1.0,0.777,1.52,0.0,0.0,0.0689,0.5781,0.48360000000000003,0.6897,1.438,0.07053000000000001
56,-0.0027,0.543,2.32,0.445,1.0,0.449,1.32,0.0,0.0,0.0715,0.593,0.4969,0.6681999999999999,1.417,0.07067999999999999
57,-0.0025,0.573,2.48,0.461,1.0,0.66,1.48,0.0,0.0,0.0617,0.5979,0.5008,0.6756,1.417,0.07146
58,-0.0025,0.457,2.34,0.367,1.0,0.648,1.34,0.0,0.0,0.0811,0.585,0.4875,0.6779,1.417,0.0722
59,0.0009,0.578,2.23,0.484,1.0,0.656,1.23,0.0,0.0,0.094,0.5861,0.489,0.6697,1.3980000000000001,0.0752
60,-0.0025,0.426,2.52,0.344,1.0,0.723,1.52,0.0,0.0,0.0631,0.5660000000000001,0.46950000000000003,0.6807000000000001,1.4060000000000001,0.075
61,0.0011,0.629,2.49,0.531,1.0,0.723,1.49,0.0,0.0,0.1101,0.5649,0.46950000000000003,0.6807000000000001,1.41,0.07935
62,0.0006,0.783,2.44,0.68,1.0,0.766,1.44,0.0,0.0,0.0609,0.5745,0.4789,0.6881999999999999,1.413,0.07744999999999999
63,-0.0026,0.335,2.43,0.234,1.0,0.645,1.43,0.0,0.0,0.0634,0.5602,0.46399999999999997,0.6828000000000001,1.4220000000000002,0.0763
64,-0.0025,0.766,2.37,0.672,1.0,0.805,1.37,0.0,0.0,0.0774,0.5803,0.4843,0.6852,1.4140000000000001,0.07521
65,-0.0027,0.69,2.39,0.586,1.0,0.738,1.39,0.0,0.0,0.0567,0.5780000000000001,0.48040000000000005,0.6813,1.401,0.07399
66,0.0007,0.521,2.34,0.43,1.0,0.625,1.34,0.0,0.0,0.0694,0.5758,0.4789,0.6989,1.403,0.07378
67,0.0006,0.735,2.31,0.641,1.0,0.758,1.31,0.0,0.0,0.0575,0.592,0.4969,0.7087,1.386,0.07336000000000001
68,-0.0057,0.396,2.45,0.305,1.0,0.719,1.45,0.0,0.0,0.0711,0.5859,0.4907,0.7158,1.397,0.07236000000000001
69,0.0006,0.354,2.46,0.258,1.0,0.574,1.46,0.0,0.0,0.059,0.5635,0.4681,0.7076,1.42,0.06886
70,-0.0028,0.768,2.21,0.68,1.0,0.758,1.21,0.0,0.0,0.074,0.5977,0.5017,0.7111,1.389,0.06995
71,0.0006,0.49,2.27,0.383,1.0,0.695,1.27,0.0,0.0,0.0567,0.5838,0.4869,0.7083,1.367,0.06461
72,-0.0026,0.492,2.38,0.391,1.0,0.785,1.38,0.0,0.0,0.0724,0.5547,0.458,0.7102,1.361,0.06576
73,-0.0025,0.577,2.45,0.461,1.0,0.629,1.45,0.0,0.0,0.0658,0.5789,0.4807,0.7086,1.363,0.066
74,0.0007,0.61,2.49,0.523,1.0,0.773,1.49,0.0,0.0,0.0737,0.5633,0.46580000000000005,0.7054,1.375,0.06563
75,0.0006,0.362,2.3,0.258,1.0,0.484,1.3,0.0,0.0,0.0584,0.5305,0.433,0.6799999999999999,1.366,0.0658
76,-0.0061,0.529,2.3,0.438,1.0,0.691,1.3,0.0,0.0,0.0724,0.5313,0.4338,0.6866,1.3619999999999999,0.0661
77,0.0009,0.461,2.25,0.359,1.0,0.59,1.25,0.0,0.0,0.086,0.5039,0.4056,0.6698,1.356,0.06895
78,-0.0025,0.583,2.41,0.484,1.0,0.676,1.41,0.0,0.0,0.0767,0.5226,0.42350000000000004,0.6655,1.3519999999999999,0.06951
79,-0.0027,0.733,2.38,0.648,1.0,0.734,1.38,0.0,0.0,0.0598,0.5605,0.4625,0.6815,1.3439999999999999,0.06959
80,-0.0026,0.442,2.39,0.359,1.0,0.688,1.39,0.0,0.0,0.0692,0.5279,0.4304,0.6745,1.3619999999999999,0.06911
81,-0.0024,0.593,2.54,0.492,1.0,0.754,1.54,0.0,0.0,0.0707,0.5382,0.4413,0.6804,1.389,0.07051
82,-0.0025,0.7,2.33,0.602,1.0,0.695,1.33,0.0,0.0,0.0841,0.5589999999999999,0.4624,0.6714,1.384,0.07168
83,-0.0026,0.673,2.22,0.578,1.0,0.727,1.22,0.0,0.0,0.0879,0.5686,0.47409999999999997,0.6811999999999999,1.361,0.07389
84,-0.0026,0.452,2.25,0.352,1.0,0.664,1.25,0.0,0.0,0.0896,0.5528,0.457,0.6702999999999999,1.337,0.07548
85,0.001,0.531,2.43,0.438,1.0,0.891,1.43,0.0,0.0,0.1016,0.5697,0.475,0.711,1.35,0.07980000000000001
86,0.0008,0.588,2.45,0.484,1.0,0.613,1.45,0.0,0.0,0.0846,0.5756,0.4796,0.7032,1.365,0.08102000000000001
87,0.0007,0.538,2.25,0.438,1.0,0.742,1.25,0.0,0.0,0.0687,0.5833,0.4875,0.7184,1.365,0.07929
88,0.0008,0.68,2.27,0.586,0.992,0.645,1.27,0.008,0.0,0.0823,0.593,0.49770000000000003,0.7152999999999999,1.351,0.07985
89,0.0009,0.575,2.23,0.484,1.0,0.57,1.23,0.0,0.0,0.0934,0.5772,0.48129999999999995,0.6989,1.3359999999999999,0.08320999999999999
90,0.001,0.532,2.25,0.438,1.0,0.488,1.25,0.0,0.0,0.0958,0.5862,0.48919999999999997,0.6789,1.322,0.08587
91,-0.0026,0.665,2.08,0.57,1.0,0.66,1.08,0.0,0.0,0.1154,0.5934,0.497,0.6695,1.276,0.09034
92,-0.0059,0.816,2.41,0.711,1.0,0.875,1.41,0.0,0.0,0.0589,0.605,0.5079,0.6875,1.284,0.08782
93,-0.0027,0.56,2.22,0.461,1.0,0.801,1.22,0.0,0.0,0.0867,0.5937,0.4962,0.6949,1.284,0.0877
94,0.0008,0.652,2.3,0.547,1.0,0.742,1.3,0.0,0.0,0.0803,0.6137,0.5157,0.7027,1.2890000000000001,0.08677
95,0.0012,0.626,2.42,0.531,1.0,0.738,1.42,0.0,0.0,0.1173,0.6232,0.525,0.6874,1.2879999999999998,0.08834
96,-0.006,0.647,2.18,0.555,1.0,0.578,1.18,0.0,0.0,0.1149,0.6291,0.5321,0.6839000000000001,1.261,0.09136999999999999
97,0.0011,0.784,2.29,0.688,1.0,0.742,1.29,0.0,0.0,0.1065,0.6537,0.5570999999999999,0.6839000000000001,1.2650000000000001,0.09515
98,0.001,0.56,2.16,0.453,1.0,0.594,1.16,0.0,0.0,0.0988,0.6416999999999999,0.5438,0.6788000000000001,1.254,0.0968
99,-0.0026,0.533,2.25,0.422,1.0,0.703,1.25,0.0,0.0,0.0864,0.6375,0.5376000000000001,0.6921,1.256,0.09609999999999999
100,-0.0024,0.581,2.22,0.477,0.984,0.719,1.22,0.016,0.0,0.0962,0.6424000000000001,0.5415,0.7152000000000001,1.253,0.09614
